Date,Number of Homes on Market
08-2022,14198
07-2022,14186
06-2022,13382
05-2022,13298
04-2022,13298
03-2022,14121
02-2022,14465
01-2022,14622
12-2021,15918
11-2021,16905
10-2021,17292
09-2021,17483
08-2021,17920
07-2021,18703
06-2021,19364
05-2021,20050
04-2021,20978
03-2021,21760
02-2021,22122
01-2021,22007
12-2020,23511
11-2020,24096
10-2020,24286
09-2020,24339
08-2020,24410
07-2020,24618
06-2020,24515
05-2020,23746
04-2020,24327
03-2020,26016
02-2020,25674
01-2020,24756
12-2019,25921
11-2019,26183
10-2019,25840
09-2019,25898
08-2019,26230
07-2019,26587
06-2019,27250
05-2019,27797
04-2019,27997
03-2019,28122
02-2019,27835
01-2019,26668
12-2018,27012
11-2018,27038
10-2018,26537
09-2018,25869
08-2018,26067
07-2018,26231
06-2018,26593
05-2018,26967
04-2018,27211
03-2018,27047
02-2018,26536
01-2018,25402
