Month,U.S. Typical Single Family Home Value,South Florida Typical Single Family Home Value,Percent Change of South Florida Typical Single Family Home Value,Percent Change of U.S. Typical Single Family Home Value,U.S. Typical Condo Value,South Florida Typical Condo Value,Percent Change of South Florida Typical Condo Value,Percent Change of U.S. Typical Condo Value
2020-01-31,251227.0,302466.0,0.24791361469982398,0.39722978184331126,256495.0,192028.0,0.12513817339978583,0.35015649452270203
2020-02-29,252382.0,304525.0,0.6807376696885026,0.45974357851663594,257582.0,193108.0,0.5624179807111496,0.42378993742568927
2020-03-31,253680.0,306468.0,0.6380428536244986,0.5142997519632875,258799.0,194113.0,0.5204341611947827,0.4724709024698903
2020-04-30,254912.0,308105.0,0.5341503843794504,0.4856512141280245,259950.0,195063.0,0.48940565546871095,0.444746695311804
2020-05-31,255768.0,309129.0,0.33235422988915353,0.33580215917650147,260461.0,195600.0,0.2752956737054113,0.19657626466629274
2020-06-30,256481.0,309962.0,0.269466792180606,0.2787682587344742,260743.0,195923.0,0.16513292433537607,0.10826956818870137
2020-07-31,257590.0,310604.0,0.20712216336196132,0.4323907034049279,261338.0,196074.0,0.07707109425640901,0.22819404547773647
2020-08-31,259524.0,311972.0,0.44043219018428115,0.7508055436934669,262938.0,196673.0,0.3054969042300293,0.6122339652097963
2020-09-30,262058.0,314291.0,0.7433359404048989,0.9764029530987539,265128.0,197829.0,0.5877776817356795,0.8328959678707504
2020-10-31,264904.0,317047.0,0.8768943431405996,1.0860191255370966,267585.0,199187.0,0.6864514302756364,0.9267221870191023
2020-11-30,267959.0,319589.0,0.8017738694893861,1.1532479690755881,269982.0,200364.0,0.5909020166978696,0.895790122764728
2020-12-31,271032.0,322628.0,0.9509088235202023,1.1468172369653473,272316.0,201753.0,0.693238306282562,0.8645020779163071
2021-01-31,274295.0,325952.0,1.030288753610975,1.203916880663547,274495.0,203208.0,0.7211788672287334,0.8001733280453616
2021-02-28,277684.0,328982.0,0.9295847241311606,1.235531088791264,276815.0,204501.0,0.6362938466989432,0.8451884369478524
2021-03-31,281376.0,332831.0,1.1699728252609676,1.3295688624479718,279423.0,206219.0,0.8400936914733981,0.9421454762205794
2021-04-30,285275.0,336489.0,1.0990562778106616,1.3856903218469219,282532.0,207916.0,0.8229115648897611,1.1126499966001457
2021-05-31,290028.0,342205.0,1.698718234474228,1.6661116466567316,286654.0,210855.0,1.4135516266184478,1.4589497826794862
2021-06-30,295610.0,348453.0,1.8258061688169347,1.9246417587267528,291657.0,214155.0,1.565056555452804,1.7453096764740827
2021-07-31,301551.0,355850.0,2.1228113978068786,2.009742566218997,296956.0,217980.0,1.7860895146039057,1.8168602159385872
2021-08-31,306999.0,363288.0,2.0902065477026888,1.8066595700229726,301741.0,221863.0,1.7813560877144585,1.6113498296043804
2021-09-30,311669.0,371434.0,2.2422981216004834,1.5211775934123484,305870.0,226226.0,1.9665288939570758,1.3683920978587505
2021-10-31,315805.0,379642.0,2.2098138565667114,1.3270488884040477,309556.0,230746.0,1.998001998001997,1.205087128518656
2021-11-30,319728.0,387320.0,2.0224316593000724,1.2422222574056674,313183.0,235002.0,1.8444523415357184,1.1716781454728764
2021-12-31,324103.0,394586.0,1.875968191676125,1.3683505980083055,317031.0,239201.0,1.78679330388678,1.228674608775071
2022-01-31,328848.0,402632.0,2.039099207777273,1.4640407524768362,321420.0,243923.0,1.9740720147491064,1.384407203081084
2022-02-28,334078.0,410239.0,1.8893182856802193,1.5904004281613426,326348.0,248403.0,1.8366451708121012,1.5331964407939713
2022-03-31,339362.0,420478.0,2.4958621681507642,1.5816665569118538,331984.0,254425.0,2.4242863411472415,1.72699081961587
2022-04-30,344931.0,431182.0,2.5456742088765694,1.641020503179491,338120.0,260933.0,2.5579247322393694,1.848281844908195
2022-05-31,349975.0,444697.0,3.1344072804523337,1.4623214497972103,343862.0,269323.0,3.215384792264686,1.6982136519578805
2022-06-30,354165.0,456489.0,2.651693175353098,1.1972283734552391,348330.0,277115.0,2.8931803076603257,1.2993584635696775
