Month,U.S. Typical Rent Price,South Florida Typical Rent Price,Percent Change in South Florida Typical Rent Price,Percent Change in U.S. Typical Rent Price
2020-01-01,1622,1955,0.051177072671437784,0.30921459492887493
2020-02-01,1631,1960,0.2557544757033181,0.5548705302096169
2020-03-01,1636,1960,0.0,0.3065603923972926
2020-04-01,1630,1952,-0.40816326530612734,-0.3667481662591676
2020-05-01,1626,1940,-0.6147540983606592,-0.24539877300613355
2020-06-01,1629,1938,-0.10309278350515427,0.1845018450184588
2020-07-01,1631,1941,0.1547987616099089,0.12277470841006721
2020-08-01,1628,1944,0.15455950540959051,-0.18393623543838666
2020-09-01,1625,1950,0.30864197530864335,-0.1842751842751844
2020-10-01,1624,1962,0.6153846153846176,-0.06153846153845732
2020-11-01,1627,1980,0.917431192660545,0.1847290640394128
2020-12-01,1630,1994,0.7070707070707005,0.18438844499077955
2021-01-01,1634,2018,1.2036108324974926,0.24539877300613355
2021-02-01,1642,2039,1.0406342913775957,0.4895960832313362
2021-03-01,1659,2069,1.4713094654242198,1.0353227771010998
2021-04-01,1685,2112,2.078298695021741,1.5672091621458772
2021-05-01,1716,2160,2.2727272727272707,1.8397626112759635
2021-06-01,1749,2219,2.731481481481479,1.9230769230769162
2021-07-01,1786,2293,3.334835511491674,2.1154945683247606
2021-08-01,1820,2367,3.2272132577409574,1.903695408734607
2021-09-01,1843,2421,2.281368821292773,1.2637362637362592
2021-10-01,1861,2472,2.106567534076831,0.9766684753119925
2021-11-01,1878,2540,2.7508090614886793,0.9134873723804393
2021-12-01,1895,2610,2.7559055118110187,0.9052183173589023
2022-01-01,1901,2638,1.072796934865905,0.31662269129286713
2022-02-01,1925,2693,2.0849128127369276,1.2624934245134112
2022-03-01,1942,2744,1.8937987374675114,0.8831168831168856
2022-04-01,1965,2789,1.63994169096211,1.1843460350154489
2022-05-01,1991,2834,1.613481534600214,1.323155216284988
2022-06-01,2007,2848,0.49400141143260967,0.8036162732295349
