Date,U.S. Overall Percent Change Since January 2018,Fayette County Percent Change Since January 2018
08-2022,60.19,30.90
07-2022,65.34,27.99
06-2022,65.70,24.82
05-2022,64.58,25.46
04-2022,56.49,13.78
03-2022,49.11,8.82
02-2022,44.51,5.20
01-2022,38.08,2.42
12-2021,38.08,0.64
11-2021,39.72,-0.78
10-2021,39.92,-4.02
09-2021,39.92,-0.78
08-2021,40.09,-1.62
07-2021,41.77,0.00
06-2021,41.77,10.24
05-2021,39.89,20.02
04-2021,37.03,12.86
03-2021,31.33,8.81
02-2021,28.05,9.44
01-2021,25.16,8.82
12-2020,25.57,9.94
11-2020,28.60,16.31
10-2020,28.88,17.14
09-2020,28.88,23.04
08-2020,28.88,16.50
07-2020,28.51,12.00
06-2020,26.10,11.97
05-2020,21.51,10.71
04-2020,18.21,7.19
03-2020,17.83,8.64
02-2020,14.11,3.02
01-2020,10.43,-2.56
12-2019,10.45,-9.12
11-2019,14.11,-5.58
10-2019,15.43,-2.42
09-2019,15.95,-3.53
08-2019,17.00,-0.35
07-2019,18.49,2.38
06-2019,19.64,3.98
05-2019,19.47,4.57
04-2019,16.94,3.20
03-2019,13.00,0.56
02-2019,9.91,-4.32
01-2019,6.78,-11.20
12-2018,7.52,-12.95
11-2018,9.82,-8.74
10-2018,10.10,-5.14
09-2018,10.10,-3.98
08-2018,10.19,-1.88
07-2018,10.43,4.75
06-2018,10.47,8.34
05-2018,10.43,8.21
04-2018,9.72,9.30
03-2018,6.42,8.15
02-2018,2.09,4.76
01-2018,0.00,0.00
