Date,Number of Homes on Market
08-2022,912
07-2022,935
06-2022,929
05-2022,880
04-2022,760
03-2022,664
02-2022,567
01-2022,593
12-2021,773
11-2021,940
10-2021,1068
09-2021,1114
08-2021,1153
07-2021,1155
06-2021,1187
05-2021,1190
04-2021,1051
03-2021,945
02-2021,969
01-2021,953
12-2020,1073
11-2020,1179
10-2020,1288
09-2020,1336
08-2020,1425
07-2020,1472
06-2020,1490
05-2020,1454
04-2020,1395
03-2020,1375
02-2020,1285
01-2020,1219
12-2019,1339
11-2019,1565
10-2019,1645
09-2019,1624
08-2019,1692
07-2019,1743
06-2019,1770
05-2019,1756
04-2019,1590
03-2019,1490
02-2019,1414
01-2019,1357
12-2018,1484
11-2018,1617
10-2018,1699
09-2018,1762
08-2018,1804
07-2018,1787
06-2018,1799
05-2018,1772
04-2018,1604
03-2018,1463
02-2018,1338
01-2018,1276
