Date,U.S. Overall Percent Change Since January 2018,Miami-Dade County Percent Change Since January 2018
08-2022,60.19,49.78
07-2022,65.34,51.11
06-2022,65.70,55.22
05-2022,64.58,55.43
04-2022,56.49,45.53
03-2022,49.11,40.56
02-2022,44.51,34.89
01-2022,38.08,27.78
12-2021,38.08,23.88
11-2021,39.72,21.66
10-2021,39.92,20.00
09-2021,39.92,16.11
08-2021,40.09,14.33
07-2021,41.77,14.33
06-2021,41.77,11.11
05-2021,39.89,10.89
04-2021,37.03,10.30
03-2021,31.33,8.00
02-2021,28.05,7.78
01-2021,25.16,8.89
12-2020,25.57,10.89
11-2020,28.60,10.88
10-2020,28.88,10.89
09-2020,28.88,10.22
08-2020,28.88,8.67
07-2020,28.51,7.78
06-2020,26.10,5.56
05-2020,21.51,3.33
04-2020,18.21,4.75
03-2020,17.83,7.78
02-2020,14.11,6.44
01-2020,10.43,5.56
12-2019,10.45,5.56
11-2019,14.11,4.22
10-2019,15.43,3.33
09-2019,15.95,2.44
08-2019,17.00,3.05
07-2019,18.49,4.33
06-2019,19.64,5.56
05-2019,19.47,5.00
04-2019,16.94,3.33
03-2019,13.00,2.19
02-2019,9.91,0.00
01-2019,6.78,0.00
12-2018,7.52,0.00
11-2018,9.82,1.11
10-2018,10.10,0.00
09-2018,10.10,1.78
08-2018,10.19,1.30
07-2018,10.43,2.00
06-2018,10.47,2.22
05-2018,10.43,2.22
04-2018,9.72,1.11
03-2018,6.42,0.00
02-2018,2.09,0.00
01-2018,0.00,0.00
