Month,U.S. Typical Single Family Home Value,South Florida Typical Single Family Home Value,Percent Change of South Florida Typical Single Family Home Value,Percent Change of U.S. Typical Single Family Home Value,U.S. Typical Condo Value,South Florida Typical Condo Value,Percent Change of South Florida Typical Condo Value,Percent Change of U.S. Typical Condo Value
2020-01-31,250717.0,302825.0,0.24795084680675483,0.39723696065672165,255746.0,190396.0,0.12515907824020012,0.3496105628690849
2020-02-29,251870.0,304887.0,0.6809213241971479,0.4598810611167181,256830.0,191467.0,0.5625118174751531,0.4238580466556563
2020-03-31,253165.0,306832.0,0.6379412700443066,0.5141541271290739,258043.0,192463.0,0.5201940804420602,0.47229685005645283
2020-04-30,254395.0,308471.0,0.5341685352244774,0.48584914976399496,259191.0,193405.0,0.48944472444054643,0.4448870924613324
2020-05-31,255249.0,309496.0,0.33228407208456545,0.3356984217457004,259701.0,193937.0,0.2750704480235733,0.1967660914152125
2020-06-30,255960.0,310330.0,0.26947036472200203,0.278551532033422,259982.0,194258.0,0.1655176681087056,0.10820135463476266
2020-07-31,257067.0,310973.0,0.20719878838655337,0.43248945147680296,260575.0,194408.0,0.07721689711621682,0.22809271411097232
2020-08-31,258998.0,312343.0,0.44055271679535046,0.7511660384257768,262171.0,195001.0,0.3050285996460955,0.612491605104104
2020-09-30,261526.0,314664.0,0.7430933300890397,0.9760693132765397,264355.0,196148.0,0.588202111784053,0.8330440819160012
2020-10-31,264366.0,317424.0,0.8771260773396294,1.0859340945068574,266804.0,197494.0,0.6862165303750167,0.9264057801062986
2020-11-30,267414.0,319969.0,0.8017667221130065,1.1529470506797423,269194.0,198661.0,0.5909040274641342,0.895788668835551
2020-12-31,270482.0,323011.0,0.9507171007191229,1.147284734531473,271521.0,200039.0,0.6936439462199351,0.8644323424741973
2021-01-31,273738.0,326339.0,1.0303054694731806,1.2037769611286553,273694.0,201481.0,0.7208594324106699,0.8003064219710421
2021-02-28,277120.0,329373.0,0.9297080643134947,1.2354879483301495,276007.0,202763.0,0.6362882852477325,0.8451043866507746
2021-03-31,280805.0,333226.0,1.1697983744872742,1.3297488452655992,278608.0,204466.0,0.8398968253576777,0.9423674037252638
2021-04-30,284695.0,336889.0,1.0992539597750373,1.385302968251989,281708.0,206149.0,0.82311973628868,1.1126744386378062
2021-05-31,289439.0,342612.0,1.698779123093952,1.6663446846625352,285818.0,209063.0,1.413540691441617,1.4589575020943713
2021-06-30,295010.0,348867.0,1.8256803614584483,1.9247578937185317,290806.0,212335.0,1.5650784691695785,1.7451665045588483
2021-07-31,300939.0,356273.0,2.122872040061119,2.009762380936242,296090.0,216127.0,1.7858572538677064,1.817018906074841
2021-08-31,306376.0,363719.0,2.0899703317399876,1.8066784298479188,300860.0,219977.0,1.7813600336838986,1.6109966564220368
2021-09-30,311036.0,371875.0,2.242390416777784,1.521006867378638,304978.0,224303.0,1.9665692322379247,1.3687429369141801
2021-10-31,315164.0,380093.0,2.2098823529411726,1.3271775614398296,308653.0,228785.0,1.9981899484179833,1.2050049511768135
2021-11-30,319079.0,387780.0,2.02239978110621,1.2422104047416616,312269.0,233005.0,1.8445265205323746,1.1715421525143155
2021-12-31,323445.0,395054.0,1.8758058693073343,1.3683131763607026,316106.0,237168.0,1.7866569386923103,1.2287482907365144
2022-01-31,328180.0,403111.0,2.0394680220931827,1.4639274065142427,320482.0,241850.0,1.974128044255541,1.384345757435801
2022-02-28,333400.0,410726.0,1.8890578525517787,1.5905905295874323,325396.0,246291.0,1.836262145958245,1.5333154436130592
2022-03-31,338673.0,420978.0,2.4960679382362017,1.5815836832633545,331015.0,252262.0,2.424367922498183,1.7268190143701734
2022-04-30,344230.0,431694.0,2.5455011900859414,1.640815772145987,337134.0,258715.0,2.5580547208854387,1.8485567119314927
2022-05-31,349265.0,445225.0,3.13439612317985,1.4626848328152642,342858.0,267034.0,3.2155074116305693,1.697841214472584
2022-06-30,353446.0,457031.0,2.651692964231578,1.197085307717627,347313.0,274760.0,2.8932645281125158,1.2993717515706216
2022-07-31,355852.0,467759.0,2.34732436092957,0.6807263344329906,349964.0,282026.0,2.644489736497313,0.7632884458687039
