Month,U.S. Homes on the market,Homes on the market
2020-01-31,1443234.0,61553.0
2020-02-29,1393006.0,62316.0
2020-03-31,1418233.0,63309.0
2020-04-30,1405337.0,61229.0
2020-05-31,1426296.0,59943.0
2020-06-30,1424857.0,59192.0
2020-07-31,1448726.0,59737.0
2020-08-31,1418402.0,58888.0
2020-09-30,1372618.0,57780.0
2020-10-31,1334824.0,57417.0
2020-11-30,1259957.0,56452.0
2020-12-31,1154204.0,54884.0
2021-01-31,1061334.0,53121.0
2021-02-28,983126.0,49649.0
2021-03-31,973157.0,45829.0
2021-04-30,956127.0,40812.0
2021-05-31,992263.0,38082.0
2021-06-30,1022806.0,35740.0
2021-07-31,1068894.0,34250.0
2021-08-31,1115103.0,33378.0
2021-09-30,1134251.0,32493.0
2021-10-31,1125150.0,31782.0
2021-11-30,1061416.0,30336.0
2021-12-31,947749.0,28219.0
2022-01-31,822740.0,26047.0
2022-02-28,723900.0,23835.0
2022-03-31,714382.0,22973.0
2022-04-30,738190.0,22051.0
2022-05-31,805971.0,22357.0
2022-06-30,877735.0,23298.0
2022-07-31,952364.0,25145.0
