Month,U.S. Typical Rent Price,South Florida Typical Rent Price,Percent Change in South Florida Typical Rent Price,Percent Change in U.S. Typical Rent Price
2020-01-01,1628,1940,0.0,0.30807147258162804
2020-02-01,1637,1946,0.3092783505154628,0.5528255528255421
2020-03-01,1643,1945,-0.05138746145940676,0.36652412950519686
2020-04-01,1636,1937,-0.41131105398457546,-0.42604990870359627
2020-05-01,1633,1925,-0.619514713474445,-0.1833740831295838
2020-06-01,1635,1923,-0.10389610389610615,0.12247397428046813
2020-07-01,1638,1926,0.15600624024960652,0.18348623853210455
2020-08-01,1635,1930,0.20768431983384517,-0.1831501831501825
2020-09-01,1632,1936,0.31088082901553626,-0.18348623853210455
2020-10-01,1631,1948,0.6198347107438051,-0.06127450980392135
2020-11-01,1634,1965,0.8726899383983522,0.18393623543837556
2020-12-01,1636,1979,0.7124681933842192,0.1223990208078396
2021-01-01,1641,2004,1.2632642748862999,0.3056234718826323
2021-02-01,1649,2025,1.0479041916167775,0.48750761730651515
2021-03-01,1666,2054,1.4320987654320882,1.0309278350515427
2021-04-01,1692,2097,2.0934761441090632,1.5606242496998712
2021-05-01,1723.0,2144.0,2.2412970910824948,1.8321513002364176
2021-06-01,1757,2205,2.8451492537313383,1.9733023795705185
2021-07-01,1794,2280,3.401360544217691,2.1058622652248227
2021-08-01,1828,2358,3.421052631578947,1.8952062430323213
2021-09-01,1851.0,2413.0,2.332485156912645,1.2582056892779026
2021-10-01,1869.0,2461.0,1.9892250310816317,0.9724473257698651
2021-11-01,1886,2525,2.600568874441289,0.9095773140716856
2021-12-01,1903,2593,2.6930693069306955,0.901378579003187
2022-01-01,1909.0,2621.0,1.0798303123794817,0.31529164477142047
2022-02-01,1933.0,2676.0,2.0984357115604757,1.2572027239392325
2022-03-01,1950.0,2726.0,1.86846038863977,0.8794619762027889
2022-04-01,1973,2770,1.614086573734408,1.1794871794871709
2022-05-01,1999,2815,1.6245487364620947,1.3177901672579928
2022-06-01,2019,2831,0.5683836589698066,1.0005002501250582
2022-07-01,2031,2841,0.35323207347226493,0.5943536404160454
